DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS,NM_TIPO_DESTINACAO_VOTOS,QT_VOTOS_NOMINAIS_VALIDOS,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23035,AFRÂNIO,107,1,Presidente,280001734029,14,KELMON LUIS DA SILVA SOUZA,PADRE KELMON,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001683500,PARTIDO ISOLADO,PTB,N,12,Válido,12,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,24970,OURICURI,82,1,Presidente,280001734029,14,KELMON LUIS DA SILVA SOUZA,PADRE KELMON,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001683500,PARTIDO ISOLADO,PTB,N,19,Válido,19,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25151,PEDRA,58,1,Presidente,280001607833,15,SIMONE NASSAR TEBET,SIMONE TEBET,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681361,COLIGAÇÃO BRASIL PARA TODOS,MDB / (PSDB/CIDADANIA) / PODE,N,87,Válido,87,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25330,RIACHO DAS ALMAS,41,1,Presidente,280001607833,15,SIMONE NASSAR TEBET,SIMONE TEBET,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681361,COLIGAÇÃO BRASIL PARA TODOS,MDB / (PSDB/CIDADANIA) / PODE,N,123,Válido,123,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25631,SÃO JOÃO,116,1,Presidente,280001600167,21,SOFIA PADUA MANZANO,SOFIA MANZANO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,21,PCB,Partido Comunista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681036,PARTIDO ISOLADO,PCB,N,3,Válido,3,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25313,RECIFE,5,1,Presidente,280001607829,13,LUIZ INÁCIO LULA DA SILVA,LULA,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PC do B / PT / PV,280001681359,COLIGAÇÃO BRASIL DA ESPERANÇA,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,N,53561,Válido,53561,6,2º TURNO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23116,ALAGOINHA,120,1,Presidente,280001618036,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,#NULO#,12,APTO,2,DEFERIDO,Coligação,22,PL,Partido Liberal,-1,#NULO#,#NULO#,#NULO#,280001682069,PELO BEM DO BRASIL,PP / REPUBLICANOS / PL,N,973,Válido,973,6,2º TURNO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,24791,MACAPARANA,90,1,Presidente,280001603612,30,LUIZ FELIPE CHAVES D AVILA,FELIPE D AVILA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,30,NOVO,Partido Novo,-1,#NULO#,#NULO#,#NULO#,280001681210,PARTIDO ISOLADO,NOVO,N,18,Válido,18,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23736,CANHOTINHO,116,1,Presidente,280001612393,12,CIRO FERREIRA GOMES,CIRO GOMES,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,12,PDT,Partido Democrático Trabalhista,-1,#NULO#,#NULO#,#NULO#,280001681612,PARTIDO ISOLADO,PDT,N,255,Válido,255,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25658,SÃO JOAQUIM DO MONTE,132,1,Presidente,280001734029,14,KELMON LUIS DA SILVA SOUZA,PADRE KELMON,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001683500,PARTIDO ISOLADO,PTB,N,17,Válido,17,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23108,SANTA CRUZ,82,1,Presidente,280001607833,15,SIMONE NASSAR TEBET,SIMONE TEBET,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681361,COLIGAÇÃO BRASIL PARA TODOS,MDB / (PSDB/CIDADANIA) / PODE,N,55,Válido,55,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,24210,GLÓRIA DO GOITÁ,21,1,Presidente,280001607833,15,SIMONE NASSAR TEBET,SIMONE TEBET,#NULO#,12,APTO,2,DEFERIDO,Coligação,15,MDB,Movimento Democrático Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681361,COLIGAÇÃO BRASIL PARA TODOS,MDB / (PSDB/CIDADANIA) / PODE,N,189,Válido,189,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,24570,JABOATÃO DOS GUARARAPES,147,1,Presidente,280001600167,21,SOFIA PADUA MANZANO,SOFIA MANZANO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,21,PCB,Partido Comunista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681036,PARTIDO ISOLADO,PCB,N,16,Válido,16,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25518,SANTA MARIA DA BOA VISTA,81,1,Presidente,280001600167,21,SOFIA PADUA MANZANO,SOFIA MANZANO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,21,PCB,Partido Comunista Brasileiro,-1,#NULO#,#NULO#,#NULO#,280001681036,PARTIDO ISOLADO,PCB,N,3,Válido,3,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23817,CARUARU,106,1,Presidente,280001677435,27,JOSE MARIA EYMAEL,CONSTITUINTE EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,-1,#NULO#,#NULO#,#NULO#,280001684145,PARTIDO ISOLADO,DC,N,12,Válido,12,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23310,BELÉM DO SÃO FRANCISCO,73,1,Presidente,280001677435,27,JOSE MARIA EYMAEL,CONSTITUINTE EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,-1,#NULO#,#NULO#,#NULO#,280001684145,PARTIDO ISOLADO,DC,N,1,Válido,1,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25437,SALGUEIRO,75,1,Presidente,280001677435,27,JOSE MARIA EYMAEL,CONSTITUINTE EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,-1,#NULO#,#NULO#,#NULO#,280001684145,PARTIDO ISOLADO,DC,N,2,Válido,2,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,25658,SÃO JOAQUIM DO MONTE,132,1,Presidente,280001612393,12,CIRO FERREIRA GOMES,CIRO GOMES,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,12,PDT,Partido Democrático Trabalhista,-1,#NULO#,#NULO#,#NULO#,280001681612,PARTIDO ISOLADO,PDT,N,295,Válido,295,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,26336,ITAPISSUMA,131,1,Presidente,280001607831,16,VERA LUCIA PEREIRA DA SILVA SALGADO,VERA,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,16,PSTU,Partido Socialista dos Trabalhadores Unificado,-1,#NULO#,#NULO#,#NULO#,280001681360,PARTIDO ISOLADO,PSTU,N,1,Válido,1,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23175,AMARAJI,31,1,Presidente,280001612393,12,CIRO FERREIRA GOMES,CIRO GOMES,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,12,PDT,Partido Democrático Trabalhista,-1,#NULO#,#NULO#,#NULO#,280001681612,PARTIDO ISOLADO,PDT,N,257,Válido,257,4,NÃO ELEITO
04/11/2022,20:12:33,2022,2,Eleição Ordinária,1,544,Eleição Geral Federal 2022,02/10/2022,F,PE,BR,BRASIL,23795,CARPINA,20,1,Presidente,280001607829,13,LUIZ INÁCIO LULA DA SILVA,LULA,#NULO#,12,APTO,2,DEFERIDO,Coligação,13,PT,Partido dos Trabalhadores,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PC do B / PT / PV,280001681359,COLIGAÇÃO BRASIL DA ESPERANÇA,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,N,24968,Válido,24968,6,2º TURNO
